Id,Instant
1,2007-06-21 15:53:45.502
2,2007-06-04 16:33:00.451
3,2007-05-31 10:03:25.750
4,2007-06-18 08:30:18.835
5,2007-06-04 08:30:50.467
6,2007-05-31 08:11:00.237
7,2007-06-04 07:25:19.124
8,2007-06-11 15:51:13.795
9,2007-06-22 16:01:19.474
10,2007-06-19 08:40:13.544
11,2007-06-18 08:18:40.336
12,2007-06-22 16:31:40.117
13,2007-06-21 16:55:30.860
14,2007-06-20 17:11:41.550
15,2007-06-21 16:20:53.946
16,2007-06-19 21:47:18.735
17,2007-06-01 09:03:58.040
18,2007-06-21 16:15:00.975
19,2007-06-13 09:00:09.530
20,2007-06-11 22:25:35.323
21,2007-06-19 17:47:49.760
22,2007-06-04 08:09:18.494
23,2007-06-08 08:07:29.195
24,2007-06-08 15:33:27.379
25,2007-06-12 21:35:39.583
26,2007-05-31 14:42:19.405
27,2007-06-04 16:47:57.849
28,2007-06-04 09:02:34.853
29,2007-06-19 15:49:27.686
30,2007-06-08 08:05:37.262
31,2007-06-11 07:57:08.495
32,2007-06-15 09:12:33.402
33,2007-06-22 20:12:47.167
34,2007-05-31 06:53:04.980
35,2007-06-01 21:25:25.579
36,2007-06-15 15:15:38.427
37,2007-06-12 17:25:05.413
38,2007-06-20 09:46:04.409
39,2007-06-11 15:45:32.413
40,2007-06-11 06:28:37.888
41,2007-06-14 08:07:06.010
42,2007-06-08 16:15:00.959
43,2007-06-22 17:25:51.484
44,2007-06-10 20:46:36.805
45,2007-05-28 09:20:41.713
46,2007-06-06 16:18:13.557
47,2007-06-11 07:43:40.037
48,2007-05-30 23:08:57.544
49,2007-05-31 08:18:56.963
50,2007-06-19 16:30:37.858
51,2007-06-15 09:34:34.739
52,2007-05-28 06:00:54.527
53,2007-05-29 21:27:14.897
54,2007-06-22 09:04:07.883
55,2007-06-05 15:41:41.154
56,2007-06-08 10:08:10.684
57,2007-06-13 20:44:16.889
58,2007-06-01 09:07:03.529
59,2007-06-10 22:01:54.335
60,2007-06-14 14:59:53.601
61,2007-06-11 08:06:14.780
62,2007-06-22 17:57:38.399
63,2007-06-18 17:06:13.010
64,2007-06-19 15:34:45.691
65,2007-06-15 16:11:57.903
66,2007-06-04 08:10:56.434
67,2007-06-01 16:04:29.332
68,2007-06-20 15:17:51.412
69,2007-06-01 16:40:12.673
70,2007-06-06 14:32:48.599
71,2007-06-04 08:38:10.247
72,2007-06-11 06:38:57.242
73,2007-06-18 06:24:58.718
74,2007-06-21 16:13:53.046
75,2007-06-12 08:02:22.452
76,2007-06-06 17:23:20.231
77,2007-06-06 14:56:39.375
78,2007-06-01 16:46:18.634
79,2007-06-06 15:56:43.640
80,2007-06-04 08:39:36.541
81,2007-05-28 06:59:06.988
82,2007-06-12 08:27:54.946
83,2007-06-01 06:25:16.800
84,2007-06-07 20:40:36.720
85,2007-06-07 07:26:04.545
86,2007-05-29 16:33:17.249
87,2007-06-07 14:22:45.263
88,2007-06-07 09:27:20.726
89,2007-06-06 07:20:32.319
90,2007-06-10 23:52:07.405
91,2007-06-06 18:03:17.020
92,2007-06-05 07:31:41.764
93,2007-06-10 19:07:35.788
94,2007-05-31 18:13:56.612
95,2007-05-31 06:39:58.231
96,2007-06-04 08:31:49.885
97,2007-06-20 14:54:43.645
98,2007-06-05 15:22:26.221
99,2007-05-29 10:19:14.131
100,2007-06-19 21:05:24.492
